iteration 142
theta0 -2.0354088784794537e-18
theta1 -0.6506723983252645

iteration 143
theta0 -2.4054832200211722e-18
theta1 -0.6527270685499168

iteration 144
theta0 -1.8503717077085942e-18
theta1 -0.6547611920723226

iteration 145
theta0 -1.7578531223231643e-18
theta1 -0.6567749743595044

iteration 146
theta0 -2.220446049250313e-18
theta1 -0.6587686188238143

iteration 147
theta0 -2.4054832200211722e-18
theta1 -0.6607423268434812

iteration 148
theta0 -2.0354088784794537e-18
theta1 -0.6626962977829515

iteration 149
theta0 -2.1279274638648836e-18
theta1 -0.664630729013027

iteration 150
theta0 -2.4054832200211722e-18
theta1 -0.6665458159308018

iteration 151
theta0 -2.0354088784794537e-18
theta1 -0.6684417519793988
